"Country Name","Country Code","DFE","perc_tot_welfare","net_income_pc","contrac_prev","cov_social_insur","cpia_gender_rating","fertility_rate","gdp_pc_ppp","income_share_low20","life_exp_birth","literacy_rate","mortality_rate","hiv_prev","school_enrol_pri_sec","school_enrol_tert"
"Philippines","PHL",0.806384865,18.9723570216679,1878.3392096708,48.3571428571429,7.47253402913531,NA,3.80495,4612.41640244328,5.15,68.99375,1.01405000686645,40.28,0.1,1.02318665881951,1.20943461931669
"Papua New Guinea","PNG",0.730797898,1.42659904189155,NA,29.15,1.00516847867008,2.5,4.5509,3204.71132490325,5,61.34005,0.926580011844635,71.91,0.345,0.829144273485456,0.595892503857612
"Poland","POL",0.032017102,70.3984749136713,6535.2835913512,72.8,47.1058476342448,NA,1.514,15742.2302035102,6.78333333333333,73.3598780487805,NA,11,NA,0.993108505010605,1.28605849742889
"Puerto Rico","PRI",0.016497321,NA,NA,77.7,NA,NA,1.96699,28953.6503219934,NA,75.7811,1.02005994319916,NA,NA,1.03162002563477,1.35893332958222
"Korea, Dem. People's Rep.","PRK",2.496881102,NA,NA,66.9,NA,NA,2.06495,NA,NA,66.2859,1,51.57,NA,NA,0.508840024471283
"Portugal","PRT",0.001802335,NA,14276.0693976729,85.1,NA,NA,1.454,28549.2961190957,6.71428571428571,76.3264634146342,1.00116002559662,7.875,0.415,1.01324277122815,1.2554037719965
"Paraguay","PRY",0.714773455,35.5526828532707,3553.90420044883,63.76,5.81991445724681,NA,3.62685,9277.88095747719,3.54615384615385,69.72515,1.00101301074028,34.89,0.2,0.996150521855605,1.22134251395861
"Romania","ROU",0.084970988,61.6618519969489,3475.71924826031,65.3,48.7203061109257,NA,1.417,14357.4942707478,5.575,70.7495243902439,0.999435007572173,22.525,0.1,1.00449899733067,1.08400050699711
"Russian Federation","RUS",0.132700497,NA,4292.98319498698,64.9166666666667,41.8650045316181,NA,1.38005,17462.5813964844,6.19230769230769,66.3432317073171,1.00092005729675,18.085,NA,0.994781417506081,1.2339583337307
"Rwanda","RWA",1.295973166,NA,286.222203740746,22.05,NA,3.5,5.90915,950.075845892682,4.85,47.91325,0.958420664072037,163.805,4.03,0.980840001787459,0.511556660135587
"Saudi Arabia","SAU",0.005660491,NA,13535.4100322241,25.4666666666667,NA,NA,4.23155,42105.8705510355,NA,72.43685,0.931620001792908,24.86,NA,0.947819977998734,1.2544384128169
"Sudan","SDN",2.765415582,NA,NA,8.775,NA,2,5.48535,3942.42239990235,6.8,55.2738,0.878699988126755,105.5,0.17,0.873594443003337,1.18334636904977
"Senegal","SEN",0.597670115,NA,864.145816404634,10.675,NA,3.5,5.5697,2581.76098668308,5.7,58.62695,0.703077301383019,117.43,0.55,0.821707693430094,0.485728007555008
